trade_id,trade_date,action_open,action_close,Open,Close,entry_price,exit_price,previous_open,previous_close,previous_day_return,opening_gap,gross_trade_return,return_after_slippage,transaction_cost_return,net_trade_return,trade_outcome,portfolio_value,cumulative_return
33,2022-05-19,BUY_OPEN,SELL_CLOSE,106.28050231933594,107.31900024414062,106.30707244491578,107.2921704940796,111.4394989013672,107.1125030517578,-0.038828206266784626,-0.007767540751240087,0.00977129296664736,0.009266533510028374,0.0005,0.008766533510028374,WIN,112931.01931619189,0.12931019316191894
34,2022-06-10,BUY_OPEN,SELL_CLOSE,113.41999816894533,109.6500015258789,113.44835316848757,109.62258902549743,119.98999786376952,116.1500015258789,-0.03200263693854166,-0.02350411813232145,-0.0332392585428436,-0.03372251809868332,0.0005,-0.03422251809868332,LOSS,109066.23546374077,0.09066235463740768
35,2022-06-13,BUY_OPEN,SELL_CLOSE,104.19000244140624,103.66999816894533,104.2160499420166,103.6440806694031,113.41999816894533,109.6500015258789,-0.0332392585428436,-0.0497947925991048,-0.0049909229319132775,-0.005488303125398941,0.0005,-0.005988303125398942,LOSS,108413.11378503776,0.08413113785037751
36,2022-06-29,BUY_OPEN,SELL_CLOSE,107.37999725341795,108.91999816894533,107.40684225273132,108.8927681694031,113.5,107.4000015258789,-0.053744479948203416,-0.00018625951747430758,0.014341599505659719,0.013834555466916587,0.0005,0.013334555466916587,WIN,109858.75446414547,0.0985875446414548
37,2022-07-13,BUY_OPEN,SELL_CLOSE,107.02999877929688,110.4000015258789,107.05675627899171,110.37240152549744,112.16000366210938,109.22000122070312,-0.026212574406320743,-0.02005129478968659,0.031486525133305854,0.030970910774328786,0.0005,0.030470910774328785,WIN,113206.25076920136,0.13206250769201366
38,2022-08-29,BUY_OPEN,SELL_CLOSE,129.89999389648438,129.7899932861328,129.9324688949585,129.7575457878113,136.5500030517578,130.75,-0.04247530517856801,-0.006501002703752423,-0.0008468099732107381,-0.001346261705291063,0.0005,-0.001846261705291063,LOSS,112997.24240360662,0.12997242403606624
39,2022-09-01,BUY_OPEN,SELL_CLOSE,126.0,127.81999969482422,126.03150000000001,127.78804469490052,129.4499969482422,126.7699966430664,-0.020702976966830877,-0.006073965949801252,0.01444444202241435,0.01393734657526502,0.0005,0.013437346575265019,WIN,114515.62551183312,0.1451562551183312
40,2022-09-22,BUY_OPEN,SELL_CLOSE,117.08000183105467,117.30999755859376,117.10927183151244,117.28067005920411,122.48999786376952,118.54000091552734,-0.03224750605870097,-0.0123165098126925,0.0019644322167928774,0.001463575214934787,0.0005,0.0009635752149347869,WIN,114625.96993029908,0.14625969930299076
41,2022-09-28,BUY_OPEN,SELL_CLOSE,114.37999725341795,118.01000213623048,114.40859225273132,117.98049963569643,117.1999969482422,114.41000366210938,-0.023805404085163406,-0.00026227084809860024,0.03173636098950028,0.0312206217438169,0.0005,0.0307206217438169,WIN,118147.35099454594,0.1814735099454594
42,2022-10-19,BUY_OPEN,SELL_CLOSE,114.70999908447266,115.06999969482422,114.73867658424379,115.04123219490052,119.05999755859376,116.36000061035156,-0.022677616358201536,-0.014180143668133693,0.0031383542256544494,0.00263691040949543,0.0005,0.00213691040949543,WIN,118399.8212987405,0.18399821298740493
43,2022-11-16,BUY_OPEN,SELL_CLOSE,96.8499984741211,97.12000274658205,96.87421097373964,97.0957227458954,103.20999908447266,98.94000244140624,-0.041371927923103846,-0.021123953059561273,0.002787860368764994,0.002286591755733758,0.0005,0.0017865917557337578,WIN,118611.35344335319,0.18611353443353185
44,2022-12-06,BUY_OPEN,SELL_CLOSE,90.5,88.25,90.522625,88.2279375,93.0500030517578,91.01000213623048,-0.021923706057189407,-0.005603803145362796,-0.024861878453038666,-0.025349325652012533,0.0005,-0.025849325652012534,LOSS,115545.32994216999,0.15545329942169994
45,2022-12-23,BUY_OPEN,SELL_CLOSE,83.25,85.25,83.2708125,85.2286875,85.5199966430664,83.79000091552734,-0.020229136990726482,-0.00644469399244596,0.024024024024023927,0.023512139983022262,0.0005,0.02301213998302226,WIN,118204.27524918372,0.1820427524918371
46,2022-12-28,BUY_OPEN,SELL_CLOSE,82.80000305175781,81.81999969482422,82.82070305252076,81.79954469490052,84.97000122070312,83.04000091552734,-0.022713902288441168,-0.0028901476532215975,-0.011835788898715394,-0.012329747514612022,0.0005,-0.012829747514612022,LOSS,116687.74424258899,0.16687744242588987
47,2023-01-06,BUY_OPEN,SELL_CLOSE,83.02999877929688,86.08000183105469,83.05075627899171,86.05848183059693,85.33000183105469,83.12000274658203,-0.025899437912215717,-0.0010828195898833215,0.03673374800191276,0.03621551068724038,0.0005,0.03571551068724038,WIN,120855.30661915516,0.20855306619155156
48,2023-02-10,BUY_OPEN,SELL_CLOSE,97.55999755859376,97.61000061035156,97.58438755798342,97.58559811019897,101.31999969482422,98.23999786376952,-0.030398754839436104,-0.0069218273611805214,0.000512536418707521,1.2405183307029333e-05,0.0005,-0.0004875948166929707,LOSS,120796.37819807783,0.20796378198077825
49,2023-03-13,BUY_OPEN,SELL_CLOSE,89.97000122070312,92.43000030517578,89.9924937210083,92.40689280509949,92.66999816894533,90.7300033569336,-0.02093444318920734,-0.00837652494335972,0.027342436935597014,0.026828894102837397,0.0005,0.026328894102837397,WIN,123976.81324766132,0.23976813247661322
50,2023-04-06,BUY_OPEN,SELL_CLOSE,100.75,102.05999755859376,100.77518750000002,102.03448255920412,103.91000366210938,101.0999984741211,-0.02704268202247162,-0.003461903851667114,0.01300245715725823,0.012496082522338137,0.0005,0.011996082522338136,WIN,125464.04933023678,0.2546404933023678
51,2023-05-01,BUY_OPEN,SELL_CLOSE,104.9499969482422,102.0500030517578,104.97623444747927,102.02449055099486,107.7300033569336,105.4499969482422,-0.021164079992991525,-0.0047415838261750665,-0.027632148459371342,-0.02811821086953925,0.0005,-0.02861821086953925,LOSS,121873.49270995779,0.21873492709957798
52,2023-05-02,BUY_OPEN,SELL_CLOSE,101.47000122070312,103.62999725341795,101.4953687210083,103.6040897541046,104.9499969482422,102.0500030517578,-0.027632148459371342,-0.005683506258794546,0.02128704057090447,0.0207765246795919,0.0005,0.0202765246795919,WIN,124344.66359267932,0.24344663592679328
53,2023-09-21,BUY_OPEN,SELL_CLOSE,131.94000244140625,129.3300018310547,131.9729874420166,129.29766933059693,138.5500030517578,135.2899932861328,-0.023529481730918178,-0.024761556737174728,-0.01978172322310401,-0.020271709864831955,0.0005,-0.020771709864831955,LOSS,121761.81231729206,0.21761812317292062
54,2023-09-27,BUY_OPEN,SELL_CLOSE,125.76000213623048,125.9800033569336,125.79144213676454,125.94850835609437,130.1199951171875,125.9800033569336,-0.03181672237633715,-0.0017463185810512316,0.0017493735445772707,0.0012486240451798913,0.0005,0.0007486240451798913,WIN,121852.96613777748,0.21852966137777474
55,2023-10-23,BUY_OPEN,SELL_CLOSE,124.62999725341795,126.55999755859376,124.66115475273132,126.52835755920412,128.0500030517578,125.16999816894533,-0.02249125196544033,-0.004314140156801094,0.015485840870648637,0.014978224854217403,0.0005,0.014478224854217403,WIN,123617.18078067356,0.23617180780673563
56,2023-10-26,BUY_OPEN,SELL_CLOSE,120.62999725341795,119.56999969482422,120.66015475273132,119.54010719490051,126.04000091552734,121.38999938964844,-0.03689306166377582,-0.006260829887567265,-0.0087871804918217,-0.009282663030941052,0.0005,-0.009782663030941052,LOSS,122407.87555626131,0.22407875556261314
57,2023-11-16,BUY_OPEN,SELL_CLOSE,140.91000366210938,142.8300018310547,140.9452311630249,142.79429433059693,147.05999755859375,143.1999969482422,-0.026247794603788233,-0.01599157356798342,0.013625705195135174,0.013119019014082856,0.0005,0.012619019014082855,WIN,123952.54286537926,0.23952542865379267
58,2024-04-16,BUY_OPEN,SELL_CLOSE,183.2700042724609,183.32000732421875,183.31582177352905,183.2741773223877,187.42999267578125,183.6199951171875,-0.02032757673519381,-0.0019060606362788501,0.0002728381655052736,-0.00022717325072363348,0.0005,-0.0007271732507236335,LOSS,123862.40789184839,0.23862407891848392
59,2024-07-12,BUY_OPEN,SELL_CLOSE,194.8000030517578,194.4900054931641,194.84870305252076,194.44138299179082,200.08999633789065,195.0500030517578,-0.02518863200747845,-0.0012817226151679018,-0.0015913632122036558,-0.0020904427607103537,0.0005,-0.0025904427607103537,LOSS,123541.54941400082,0.23541549414000817
60,2024-07-19,BUY_OPEN,SELL_CLOSE,181.13999938964844,183.1300048828125,181.18528438949588,183.08422238159181,189.58999633789065,183.75,-0.030803293690045308,-0.01420408495429426,0.010986008059342911,0.010480641396978907,0.0005,0.009980641396978907,WIN,124774.5733163291,0.24774573316329107
61,2024-08-02,BUY_OPEN,SELL_CLOSE,166.75,167.89999389648438,166.79168750000002,167.85801889801027,189.2899932861328,184.07000732421875,-0.0275766609279946,-0.09409467395582538,0.006896515121345592,0.006393192694391647,0.0005,0.005893192694391647,WIN,125509.89392024274,0.25509893920242743
