classifier,regressor,probability_quantile,return_quantile,probability_threshold,return_threshold,precision,recall,f1,balanced_accuracy,roc_auc,total_return,sharpe_ratio,win_rate,maximum_drawdown,number_of_trades,excess_return,excess_sharpe,classification_pass,economic_pass,objective_score
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.1,0.3305155800542801,-0.0036120599840543453,0.4688995215311005,0.7101449275362319,0.5648414985590778,0.5015692790547401,0.46086033416412814,-0.25228881264702707,-0.8975647862521825,0.4688995215311005,-0.3722103382320927,209,-0.3485364824374211,-2.7444597272513525,False,False,-1.5727895626548833
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.15000000000000002,0.3305155800542801,-0.0030473106647234,0.4630541871921182,0.6811594202898551,0.5513196480938416,0.49344595218314413,0.46086033416412814,-0.26507508596261964,-0.9728782516137203,0.4630541871921182,-0.38797920384255014,203,-0.36132275575301365,-2.8197731926128906,False,False,-1.684525820369491
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.2,0.3305155800542801,-0.002630929774753457,0.45685279187817257,0.6521739130434783,0.5373134328358209,0.485322625311548,0.46086033416412814,-0.2738610431137274,-1.025312773094917,0.45685279187817257,-0.3804593279942855,197,-0.3701087129041214,-2.8722077140940874,False,False,-1.7628919286003162
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.25,0.3305155800542801,-0.002214238866954062,0.4627659574468085,0.6304347826086957,0.5337423312883436,0.49356134034893384,0.46086033416412814,-0.24198362768526238,-0.8758864077507159,0.4627659574468085,-0.3532615648264159,188,-0.3382312974756564,-2.722781348749886,False,False,-1.519901904463533
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.30000000000000004,0.3305155800542801,-0.0018979139170645326,0.4632768361581921,0.5942028985507246,0.5206349206349207,0.4945536785747254,0.46086033416412814,-0.21448154593942093,-0.7803110814397398,0.4632768361581921,-0.36677999212023504,177,-0.31072921572981493,-2.62720602243891,False,False,-1.3284931903873392
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.35000000000000003,0.3305155800542801,-0.0016521200777500264,0.4457831325301205,0.5362318840579711,0.4868421052631579,0.47512231145573713,0.46086033416412814,-0.24866713295813003,-0.9552803502122265,0.4457831325301205,-0.38244122273094405,166,-0.34491480274852404,-2.8021752912113964,False,False,-1.6156719083291429
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.4,0.3305155800542801,-0.0014593281201654275,0.46153846153846156,0.5217391304347826,0.4897959183673469,0.4933536416505123,0.46086033416412814,-0.1965732280203788,-0.7227592123564796,0.46153846153846156,-0.3584049486767228,156,-0.2928208978107728,-2.56965415335565,False,False,-1.2164954790169011
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.45,0.3305155800542801,-0.0012548995735889726,0.4657534246575342,0.4927536231884058,0.4788732394366197,0.497969168282101,0.46086033416412814,-0.1861556936687474,-0.6865379873577191,0.4657534246575342,-0.380342736078807,146,-0.2824033634591414,-2.5334329283568895,False,False,-1.1480413176095836
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.5,0.3305155800542801,-0.0010124620730135524,0.4744525547445255,0.47101449275362317,0.4727272727272727,0.5062078833194867,0.46086033416412814,-0.14728318528329376,-0.5202194334300523,0.4744525547445255,-0.3611185646416061,137,-0.24353085507368777,-2.3671143744292227,False,False,-0.8569786531801448
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.55,0.3305155800542801,-0.0006060445721779821,0.46774193548387094,0.42028985507246375,0.44274809160305345,0.4999538447336841,0.46086033416412814,-0.19282605734560976,-0.7829942843609304,0.46774193548387094,-0.3543398794575834,124,-0.28907372713600377,-2.6298892253601007,False,False,-1.2302775446194596
